gene	strain	bitscore	llik
nef	JRCSF	1057	-90.22
nef	JRCSF	992	-106.99
nef	YU2	1000	-117.47
nef	JRCSF	972	-116.29
nef	JRCSF	1051	-117.44
nef	YU2	946	-131.31
nef	YU2	913	-133.84
nef	YU2	935	-139.62
nef	YU2	931	-148.75
nef	YU2	918	-152.26
nef	YU2	896	-160.49
nef	YU2	913	-156.42
nef	89.6	1086	-153.70
nef	JRCSF	1020	-154.35
nef	YU2	789	-180.76
nef	NL43	865	-171.13
nef	YU2	880	-182.42
nef	89.6	1020	-169.23
nef	NL43	859	-187.73
nef	JRCSF	1000	-165.78
nef	NL43	845	-192.10
nef	JRCSF	968	-170.59
nef	JRCSF	931	-172.15
nef	JRCSF	902	-189.31
nef	89.6	427	-487.94
nef	NL43	377	-532.90
nef	JRCSF	929	-186.86
nef	JRCSF	845	-179.10
nef	JRCSF	865	-191.15
nef	89.6	621	-253.90
nef	89.6	390	-558.87
nef	NL43	553	-276.27
nef	89.6	464	-395.05
nef	YU2	739	-199.32
nef	89.6	592	-298.69
nef	89.6	442	-459.25
nef	JRCSF	826	-191.08
nef	NL43	503	-336.06
nef	NL43	363	-516.18
nef	NL43	621	-210.34
nef	89.6	398	-531.51
nef	HXB2	368	-501.45
nef	HXB2	272	-635.47
nef	89.6	339	-548.51
nef	NL43	387	-364.76
nef	NL43	499	-328.80
nef	NL43	268	-592.26
pol	NL43	5557	-47.03
pol	HXB2	5415	-61.72
pol	JRCSF	5502	-56.98
pol	89.6	5513	-66.56
pol	NL43	5507	-83.62
pol	YU2	5291	-131.20
pol	NL43	5325	-191.83
pol	HXB2	5312	-230.65
pol	JRCSF	5275	-254.48
pol	NL43	5265	-318.51
pol	89.6	5419	-348.36
pol	YU2	5180	-415.99
pol	NL43	5155	-480.53
pol	HXB2	5162	-506.99
pol	89.6	5147	-539.26
pol	89.6	5312	-574.47
pol	HXB2	5081	-609.32
pol	89.6	5121	-627.04
pol	YU2	5029	-649.83
pol	JRCSF	5024	-666.47
pol	HXB2	5081	-680.37
pol	YU2	5086	-695.00
pol	NL43	5088	-696.05
pol	HXB2	5075	-703.52
pol	JRCSF	4968	-719.89
pol	89.6	4935	-737.88
pol	89.6	4979	-747.15
pol	89.6	4652	-768.16
pol	NL43	4674	-768.92
pol	YU2	4385	-815.67
pol	JRCSF	4281	-814.88
pol	JRCSF	4154	-825.36
pol	NL43	3740	-887.62
pol	NL43	3290	-1183.41
pol	JRCSF	4124	-845.10
pol	89.6	3640	-899.34
pol	JRCSF	3884	-863.49
pol	HXB2	665	-3456.79
pol	JRCSF	303	-3766.74
pol	JRCSF	553	-3476.72
pol	YU2	3238	-1231.53
pol	89.6	1513	-2475.98
pol	NL43	2586	-1559.46
pol	JRCSF	3458	-923.17
pol	89.6	2780	-1249.31
pol	HXB2	3576	-915.02
pol	NL43	2682	-1591.87
